stage,focal_cluster_id,source_package,target_package,class_edge_count,aggregated_internal_weight
stage1+stage3,C11,P01,P03,16,90
stage1+stage3,C11,P01,P04,10,37
stage1+stage3,C11,P01,P06,16,100
stage1+stage3,C11,P01,P07,1,1
stage1+stage3,C11,P01,P08,1,1
stage1+stage3,C11,P01,P09,4,15
stage1+stage3,C11,P02,P06,1,6
stage1+stage3,C11,P03,P04,6,38
stage1+stage3,C11,P03,P06,3,6
stage1+stage3,C11,P03,P07,5,27
stage1+stage3,C11,P03,P08,5,225
stage1+stage3,C11,P03,P09,22,190
stage1+stage3,C11,P03,P10,4,15
stage1+stage3,C11,P04,P05,4,17
stage1+stage3,C11,P04,P06,71,1028
stage1+stage3,C11,P04,P07,20,65
stage1+stage3,C11,P04,P08,5,351
stage1+stage3,C11,P04,P09,96,314
stage1+stage3,C11,P04,P10,1,2
stage1+stage3,C11,P06,P07,23,239
stage1+stage3,C11,P06,P08,15,681
stage1+stage3,C11,P06,P09,27,266
stage1+stage3,C11,P06,P10,1,36
stage1+stage3,C11,P07,P08,2,17
stage1+stage3,C11,P07,P09,9,33
stage1+stage3,C11,P07,P10,1,1
stage1+stage3,C11,P09,P10,1,1
